;Licence +;Licence ++;Licence +++;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Communication à des tiers pour marketing direct;opt-in pour sollicitation commerciale sauf pour produits et services équivalents/ modification CGV / opt-in prospection commerciale;Marketing direct avec restrictions liées aux destinataires, aux centres d’intérêts ou aux supports;Communication des DP à des tiers pour marketing direct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dailymotion ;Dailymotion affirme que nos données lui sont uniquement destinées. Elles ne font l'objet d'aucune communication à des tiers. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allociné ;"En règle générale, AlloCiné s’engage à ne pas divulguer les données personnelles de ses Utilisateurs, sauf avec leur autorisation expresse ou dans des circonstances très particulières, telles celles qui sont envisagées et précisées dans les présentes Conditions Générales, et notamment ;

AlloCiné pourra être amenée – du fait de la loi, dans le cadre d’une procédure en justice, d’un litige et /ou d’une requête des autorités publiques du pays de résidence de l’Utilisateur ou autre – à divulguer les données personnelles précitées ;
AlloCiné pourra également divulguer ces données si la divulgation est nécessaire à des fins de sécurité nationale, d’application de la loi ou autre sujet d’intérêt public ;
AlloCiné peut également divulguer des données concernant ses Utilisateurs si cette divulgation est raisonnablement nécessaire pour faire valoir le respect des présentes Conditions Générales ou protéger ses activités ou ses Utilisateurs ;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deezer;"«Nous autorisons certains de nos partenaires commerciaux à déposer des cookies publicitaires sur le Site pour les mêmes fins que celles mentionnées ci-dessus (publicitaires notamment). L'émission et l'utilisation de ces cookies sont soumises aux politiques de protection de la vie privée de ces tiers.»
De plus, «si le membre y a consenti (par exemple à l’occasion de la création de son compte en vue de s’inscrire au service gratuit), le membre sera susceptible de recevoir des offres de partenaires de DEEZER à son adresse de courrier électronique telle que renseignée et, le cas échéant, modifiée par lui et ses coordonnées pourront être cédées à des partenaires commerciaux.»";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canal +;"""Vos données ne font
l'objet d'aucune communication à des tiers. Vous êtes toutefois informés
qu'elles pourront être divulguées en applications d'une loi, d'un règlement ou
en vertu d'une décision d'une autorité règlementaire ou judiciaire compétente. Par
ailleurs, sur la base des informations
ainsi obtenues, CANAL+ pourra,
sous réserve de votre consentement exprès, 
vous faire parvenir des offres commerciales, promotionnelles,
publicitaires ou marketing, exploiter et communiquer lesdites informations à des tiers, notamment à des cabinets
d'étude de marché et instituts de sondage et ce exclusivement à des fins
d'étude et d'analyse, et/ou à des sociétés du Groupe CANAL+ et/ou à des
sociétés tierces dans le cadre d'offres commerciales conjointes ou non
adressées par courrier postal et/ ou par courrier électronique.
Vous pouvez toujours refuser d'indiquer des informations
d'identification personnelle sur le Site, ce qui ne vous empêchera pas
d'explorer le Site. Toutefois, nous serons dans l'incapacité de vous fournir
certains services qui requièrent votre inscription à des fins
d'authentification.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spotify ;;;"N'énnonce pas clairement le partage à des tiers en matière de marketing direct, mais : ""
                          Nous pouvons autoriser nos partenaires commerciaux à utiliser 
des cookies sur le Service de Spotify pour 
                mêmes fins que celles 
mentionnées ci-dessus. (fins publicitaires)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soundhound;"SoundHound will not share your name, email address, or other personally 
identifying information with other companies, except as needed for 
SoundHound to supply its services or communicate with you.  (Soundhod ne partagara pas vos noms, adresse mail, et toutes autres données identifiantes avec d'autres compagnies,sauf pour la fourniture des services et des communications de soundhound)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Netflix      ;;Nous utilisons les informations que nous collectons afin de fournir, analyser, administrer, améliorer et personnaliser nos services et nos activités de marketing pour votre bénéfice et celui d'autres utilisateurs. ;Nous travaillons occasionnellement en partenariat avec des sociétés dont les produits pourraient, selon nous, intéresser nos abonnés. En association avec ces partenaires, nous sommes susceptibles de vous envoyer des annonces promotionnelles et/ou de publier des publicités en ligne en leur nom, pour autant que la loi l'autorise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8Tracks;;;« 8tracks may disclose Automatically Collected and other aggregate and/or anonymous non-personally-identifiable information (such as IP addresses, anonymous User usage data, listening preferences, referring or exit pages and URLs, platform types, number of clicks) with interested third parties to assist those parties in understanding the usage and demographic patterns for certain content, services, advertisements, promotions, or other functionality on the 8tracks Platform. »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viralité des conditions de réutilisation des données personnelles par les tiers;Services de publicité, de mesure et d’analyse (uniquement des informations qui ne permettent pas de vous identifier personnellement).;Engagement sur la viralité des conditions / sur la non divulgation des données par les tiers;Pas d’engagement sur la viralité des présentes conditions ou sur la divulgation par les tiers selon les mêmes conditions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allociné;;AlloCiné pourra par ailleurs transmettre les données de l’Utilisateur à des partenaires commerciaux, sous réserve de l’autorisation expresse de l’Utilisateur lors de son inscription.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deezer;«Vos données ne font l'objet d'aucune communication à des tiers. Vous êtes toutefois informés qu'elles pourront être divulguées en application d'une loi, d'un règlement ou en vertu d'une décision d'une autorité réglementaire ou judiciaire compétente ou encore, si cela s'avère nécessaire, aux fins, pour Deezer, de préserver ses droits et intérêts.»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canal +;;;La société ne s'engage pas à ce que les données communiquées à ses prestataires facent l'objet d'une réutilisation dans les mêmes conditions.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VSCO;;;"If you are using a third party website or service (like Facebook or Twitter) and you allow such a third party access to your User Content, you do so at your own risk. This Privacy Policy does not apply to information we collect by other means (including offline) and from other sources other than through the Service. LINKS TO OTHER WEBSITES AND SERVICES
We are not responsible for the practices employed by websites or services linked to or from the Service, including the information or content contained therein. Please remember that when you use a link to go from the Service to another website, our Privacy Policy does not apply to third-party websites or services";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
