;Licence +;Licence ++;Licence +++;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Communication à des tiers pour marketing direct;opt-in pour sollicitation commerciale sauf pour produits et services équivalents/ modification CGV / opt-in prospection commerciale;Marketing direct avec restrictions liées aux destinataires, aux centres d’intérêts ou aux supports;Communication des DP à des tiers pour marketing direct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mappy;"Nous utilisons vos données personnelles pour :

vous permettre d’utiliser nos services ;
vous informer sur les services pour lesquels vous avez exprimé un intérêt et qui vous sont proposés sur notre Site ;
vous proposer de participer à des jeux ou des concours ;
vous proposer des offres publicitaires et des informations sur notre Site en rapport avec vos centres d’intérêt et, éventuellement, avec votre localisation.
Le cas échéant, nous pourrons transmettre vos données à nos partenaires qui sont susceptibles de les utiliser à des fins de prospection commerciale, sous réserve que vous nous y ayez explicitement consenti. Vous restez libre de retirer ce consentement à tout moment.Les données collectées sur notre Site sont exclusivement destinées au groupe Solocal.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Tom  ;« TomTom ne fournira pas Vos Renseignements personnels à un tiers sans Votre permission, sauf tel que nécessaire pour traiter Votre commande, répondre à Vos demandes ou gérer les programmes clientèle interactifs ou s'il est tenu de le faire par la loi » ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vente privée;Vente privée ne transmettra jamais vos Données personnelles avec aucun tiers (hors des sociétés du Groupe auquel elle appartient) susceptible de les utiliser à des fins de publicité directe, excepté si vous y avez expressément consenti préalablement. ;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Airbnb;Opt-in pour envoi de messages marketing de la part d’airbnb ou d’autres partenaires tiers avec toujours la possibilité de se désabonner plus tard (opt-out) dans les paramètres du compte.;Airbnb peut divulguer les données personnelles des utilisateurs à des sociétés tierces pour fournir certains services (vérification de l’identité par ex).;Certaines parties du site peuvent être diffusées auprès de tiers qui auront dès lors accès aux informations de la page de profil public de l’utilisateur. Ces sociétés tierces peuvent utiliser les données personnelles dans la mesure permise par la politique de confidentialité d’airbnb et sont donc obligés de la respecter.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMAZON;Amazon (H.Jacob): opt-in et sans communication du nom et de l’adresse aux sociétés tiers : “Sous réserve de votre accord, donné dans Votre Compte, nous pouvons envoyer de temps en temps des offres à certaines catégories de clients Amazon.fr pour le compte d’autres sociétés. Dans ce cas, nous ne communiquons à ces sociétés ni votre nom ni votre adresse.”;;Amazon (H. Jacob): un cas pour les revendeurs - considérés comme des partenaires non contrôlés par Amazon - utilisant le site pour “exploiter leur propre boutique”. Amazon permet de “savoir quand un tiers est impliqué dans [les] transactions et quand [Amazon] partage avec ce tiers les informations relatives à ces transactions”.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Microsoft;"Nous utilisons également vos données personnelles avec votre accord.  
Nous pouvons également partager ou divulguer les informations avec les 
filiales et les prestataires de Microsoft ""nos systèmes de publicité ne reçoivent pas ou n’utilisent pas d’informations susceptibles de vous identifier personnellement et directement (comme vos nom, adresse de messagerie ou numéro de téléphone)""";"""Nous utilisons également vos données personnelles avec votre accord.  
Nous pouvons également partager ou divulguer les informations avec les 
filiales et les prestataires de Microsoft "" ""nos systèmes de publicité ne reçoivent pas ou n’utilisent pas d’informations susceptibles de vous identifier personnellement et directement (comme vos nom, adresse de messagerie ou numéro de téléphone)""";Nous autorisons aussi des compagnies publicitaires tierces, y compris d'autres réseaux publicitaires, à afficher des publicités sur nos sites.  Dans certains cas, ces tiers peuvent également placer des cookies sur votre ordinateur et recueillir des informations sur vos activités en ligne sur des sites web ou des services en ligne.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"IBM
";"""Les informations que vous communiquez à IBM, ainsi que les informations que nous avons recueillies à votre sujet de manière indirecte, peuvent être utilisées par IBM à des fins commerciales. Toutefois, vous avez au préalable la possibilité d'accepter ou de refuser une telle utilisation de vos données. Vous pouvez à tout moment décider de ne plus recevoir de communications commerciales de notre part """;"""Pour nous aider, nous pourrons être amenés à partager des informations avec d'autres entités (par exemple, des Partenaires Commerciaux IBM, des organismes financiers, des entreprises de transport, des services postaux ou des administrations, comme les douanes) qui jouent un rôle dans le traitement de votre demande. À l'occasion d'une transaction, nous pouvons également vous demander de participer à notre enquête de satisfaction client ou prendre contact avec vous dans le cadre d'une étude de marché.""";"""Certains de nos partenaires commerciaux incluent des pixels espions et des cookies sur notre site. De plus, il se peut que les boutons de médias sociaux tiers consignent certaines informations telles que votre adresse IP, votre type de navigateur et sa langue, vos heures d'accès et l'adresse du site Web d'origine, et, si vous êtes connecté à ces sites de médias sociaux, ils peuvent également associer ces informations collectées à vos informations de profil sur ce site. Nous ne maîtrisons pas les technologies de suivi de ces tiers. """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LastPass;;Ne l’énonce pas clairement, mais communicabilité à des tiers pour fournir les “services”. Limitation des destinataires.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Samsung  ;opt-in prospection commerciale « il vous sera demandé sur la page de ce site internet [...] si vous souhaitez que ces informations soient utilisées à des fins d’action de marketing direct que ce soit par nous-mêmes ou par un tiers (y compris nos partenaires commerciaux). Nous solliciterons votre accord en vous demandant de cocher une ou plusieurs cases ».;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
