;Licence +;Licence ++;Licence +++;
Communication … des tiers pour marketing direct;opt-in pour sollicitation commerciale sauf pour produits et services ‚quivalents/ modification CGV / opt-in prospection commerciale;Marketing direct avec restrictions li‚es aux destinataires, aux centres d?int‚rˆts ou aux supports;Communication des DP … des tiers pour marketing direct;
Hubic;;;;"Les donn‚es transmises par le Client sont conserv‚es le temps l‚gal n‚cessaire … l'administration de la 
preuve.  OVH  s'interdit  toute  divulgation,  toute  revente  des  donn‚es  nominatives  relatives  au  Client, 
sous  r‚serve  de  dispositions  contraires  dans  les  conditions  particuliŠres.  Seules  les  filiales  d?OVH 
peuvent y avoir accŠs. "
HomeBubble;;;;Pas de communication … des tiers des DP pour du marketink direct, le service peut ˆtre amen‚ … transmettre certaines informations … caractŠre personnel … ses sous-traitants li‚s par une obligation de confidentialit‚, et qui ne seront autoris‚s … les utiliser qu?aux seules fins de la fourniture du service.                                                                                                                                                                                                   
Dropbox ;Nous pouvons partager des informations mais nous ne les vendons pas aux annonceurs publicitaires ni … d?autres tiers;;;
Digiposte ;Opt in pour les partenaires de la poste;;;
Viralit‚ des conditions de r‚utilisation des donn‚es personnelles par les tiers;Services de publicit‚, de mesure et d?analyse (uniquement des informations qui ne permettent pas de vous identifier personnellement).;Engagement sur la viralit‚ des conditions / sur la non divulgation des donn‚es par les tiers;Pas d?engagement sur la viralit‚ des pr‚sentes conditions ou sur la divulgation par les tiers selon les mˆmes conditions;
Hubic;Pas de transmission … des tiers donc pas de viralit‚ … pr‚voir;;;
HomeBubble;;"Les donn‚es recueillies sont strictement confidentielles et ne peuvent ˆtre divulgu‚es … des tiers, sauf en cas d?accord express de l?Utilisateur ou en cas de r‚quisition des autorit‚s judiciaires ou administratives.
Le Service pourra transmettre certaines informations … caractŠre personnel relatives aux Utilisateurs … ses sous-traitants li‚s par une obligation de confidentialit‚, et qui ne seront autoris‚s … les utiliser qu?aux seules fins de la fourniture du Service. Toute autre utilisation par le Service des donn‚es … caractŠre personnel de l?Utilisateur sera effectu‚e avec l?accord pr‚alable de l?Utilisateur.";;
dropbox ;;pas de transmission donc pas de viralit‚ … pr‚voir ;;
Digiposte;;;"aucune information explicite : 
Article 7 CGU ®ÿLa Poste reste ‚trangŠre … toute relation contractuelle qui pourrait ˆtre nou‚e entre l?Abonn‚ et tout partenaire, y compris si cette relation contractuelle est nou‚e via le Site et/ou les Applications Mobiles ¯.
Par l'article 6 de la charte, on d‚duit que la r‚utilisation par des tiers  de donn‚es personnelles transmises  par le service (hors les cas de sous-traitance) ‚chappe … la responsabilit‚ de la poste (conform‚ment … la LIL).
Et l'article 8 de la mˆme charte indique ®ÿL'Abonn‚ peut acc‚der, par les liens hypertextes pr‚sents sur le Site, aux sites de partenaires qui ne sont pas r‚gis par les pr‚sentes dispositions de protection des donn‚es personnellesÿ¯.";
Information pr‚alable pour la communication des donn‚es personnelles … des tiers en cas de fusion;Collecte opt-in pr‚alable … la fusion;Information pr‚alable pour opt-out cas de fusion;Pas d?information pr‚alable transmission en cas de fusion;
Hubic;;;;Pas d'information donn‚e en ce sens.
HomeBubble;;La Soci‚t‚ se r‚serve le droit, aprŠs en avoir inform‚ l?Utilisateur, de transf‚rer ses droits et obligations au titre des CGU et du contrat, sous r‚serve de l?engagement du cessionnaire de respecter les termes des pr‚sentes CGU.;;
Dropbox ;;En cas de r‚organisation, de fusion, d?acquisition ou de vente de nos biens, vos informations peuvent ˆtre transf‚r‚es dans le cadre de cette op‚ration. Nous vous pr‚viendrons en envoyant un message … l?adresse e-mail associ‚e … votre compte par exemple, de telles op‚rations et nous vous indiquerons les options qui vous sont alors offertes. ;;
Digiposte;;;Article 17 CGUÿ: ®ÿLa Poste se r‚serve la facult‚ de c‚der les CGU, et de fait les relations contractuelles, … tout tiers de son choixÿ¯.;
Finalit‚ de la r‚utilisation des donn‚es personnelles collect‚es;Pour finalit‚ statistique et la facturation;Pour fournir le service et les offres adapt‚es;Pour les collecter, les utiliser, les agr‚ger, les transf‚rer, les divulguer … quelque fin que se soit;
Hubic;;;;"Il peut ˆtre int‚ressant d'ajouter la collecte en vue de satisfaire aux obligations l‚gales : ""OVH rappelle au Client que dans le cadre du Service, OVH sera amen‚e … conserver un ensemble de 
donn‚es personnelles pour r‚pondre … ses obligatoires rŠglementaires et judiciaires. 
A  ce  titre,  les  informations  telles  que  ® nom,  pr‚nom,  adresse  postale,  adresse  ‚lectronique, 
t‚l‚phones,  adresses  IP  de  connexion ¯  seront  conserv‚es  par  OVH  pendant  toute  la  dur‚e  de  la 
relation contractuelle et jusqu?… douze mois … compter de l?expiration du Service."""
HomeBubble;;Les donn‚es … caractŠre personnel des Utilisateurs sont utilis‚es par le Service aux seules fins de la fourniture du Service. ;;
Dropbox ;;Nous collectons et utilisons les donn‚es afin d?assurer, d?am‚liorer et de prot‚ger nos services;;
Digiposte;;Finalit‚s explicites et d‚taill‚es, offrant  au service un vaste champ de traitement des DP (Article 2  de la Charte);;
Agr‚gation des donn‚es;Pas d?agr‚gation;Agr‚gation DP avec donn‚es non personnelles;Agr‚gation avec l?ensemble des DP disponibles;
Hubic;Pas d'agr‚gation mentionn‚e.;;;
HomeBubble;Pas d'agr‚gation mentionn‚e;;;
Dropbox ;Pas d?agr‚gation possible ;;;
Digiposte;;;Aucune information sur l?agr‚gation. Cependant, l'article 1.1 de la Charte indique que la collecte de DP peut avoir lieuÿ: ®ÿ indirectement par l'interm‚diaire des partenaires de La Poste.¯. Et ®ÿl'Abonn‚ s'engage … v‚rifier les Donn‚es personnelles transmises en cas de collecte indirecte et … apporter les modifications et/ou corrections n‚cessaires ¯.;
Donn‚es d?identit‚;Uniquement pour et pendant la fourniture du service et pendant l?ex‚cution du contrat;Opt-in pr‚alable pour communicabilit‚ des donn‚es d?identification … des tiers (mots de passe...);Communicabilit‚ des donn‚es d?identification (nom, prenom...) … des tiers (hors autorit‚);
Hubic;;"OVH rappelle au Client que dans le cadre du Service, OVH sera amen‚e … conserver un ensemble de 
donn‚es personnelles pour r‚pondre … ses obligatoires rŠglementaires et judiciaires. 
A  ce  titre,  les  informations  telles  que  ® nom,  pr‚nom,  adresse  postale,  adresse  ‚lectronique, 
t‚l‚phones,  adresses  IP  de  connexion ¯  seront  conserv‚es  par  OVH  pendant  toute  la  dur‚e  de  la 
relation contractuelle et jusqu?… douze mois … compter de l?expiration du Service. ";;
HomeBubble;;"Les donn‚es recueillies sont strictement confidentielles et ne peuvent 
ˆtre divulgu‚es … des tiers, sauf en cas d?accord express de 
l?Utilisateur ou en cas de r‚quisition des autorit‚s judiciaires ou 
administratives.


Le Service pourra transmettre certaines 
informations … caractŠre personnel relatives aux Utilisateurs … ses 
sous-traitants li‚s par une obligation de confidentialit‚, et qui ne 
seront autoris‚s … les utiliser qu?aux seules fins de la fourniture du 
Service.
 

Toute autre utilisation par le Service des donn‚es …
 caractŠre personnel de l?Utilisateur sera effectu‚e avec l?accord 
pr‚alable de l?Utilisateur.";;
Dropbox ;Nous collectons et associons … votre compte des informations telles que vos noms adresse e-mail, num‚ros de t‚l‚phone, informations de paiement et adresse postale. Certains de nos services vous permettent d?acc‚der … ces informations auprŠs d?autres prestataires de service. ;;;
Digiposte;;Le second alin‚a de l'article 1.1 de la Charte dispose que ÿ: ®ÿLes Donn‚es personnelles collect‚es directement auprŠs de l'Abonn‚ sont celles qui ont ‚t‚ communiqu‚es lors de son inscription au Service, directement sur le Site ou par le biais des formulaires dont ceux mis … disposition par les partenaires de la Poste. Quel que soit le support de la collecte, le caractŠre obligatoire ou facultatif des r‚ponses est indiqu‚ dans les formulaires¯.;;
Identifiants ‚lectroniques;Uniquement pour et pendant la fourniture du service et pendant l?ex‚cution du contrat;Fusion des identifiants plusieurs services de l?entreprise/ transmission … des tiers pour fusion des identifiants ou recherche d?amis pr‚sents;Agr‚gation des identifiants avec tiers / utilisation des comptes de messagerie;
Hubic;Clause implicite. Hors dur‚e d'administration de la preuve (cf. supra);;;
HomeBubble;Utilisation des identifiants ‚lectroniques seulement pour et pendant l'ex‚cution du contrat.;;Communication seulement aux sous-traitants li‚s par une clause de confidentialit‚. ;
Dropbox ;Nous collectons des informations des appareils dont vous vous servez pour acc‚der aux services. Ces informations incluent les adresses IP, le type de navigateur et l?appareil que vous utilisez, la page web que vous avez consult‚ avant de venir sur notre site web et les identifiants associ‚s … vos appareils.;;;
digiposte;;Les identifiants ‚lectroniques tout comme les donn‚es d' identit‚ requises pour l'utilisation du service Digiposte peuvent servir pour d'autres services fournis par le groupe La Poste, ainsi que pour les services ‚dit‚s par des partenaires tiers. Un dashboard permet de contr“ler la diffusion des DP;;
Informations publiques / donn‚es de profil;Uniquement accessible aux autres utilisateurs;Mise … disposition des partenaires pour r‚f‚rencement et agr‚gation (avec opt-in);Mise … disposition publique pour r‚f‚rencement et agr‚gation (avec opt-out);
Hubic;"Le Client assume l?entiŠre responsabilit‚ du partage des fichiers stock‚s sur son Service. Par ailleurs, il 
s?engage … ne pas partager les donn‚es stock‚es surle Service dans le cadre d'une communication 
publique, en dehors de la sphŠre priv‚e ou professionnelle. OVH rappelle au Client que le Service n?a 
pas  vocation  …  ˆtre  utilis‚  pour  de  l?‚change  massif  de  fichiers  et  en  ce  sens  OVH  se  r‚serve  la 
possibilit‚ d?effectuer des mesures de contr“le pour v‚rifier la bonne utilisation du Service par le Client.";;;
